"dist_id","dist_name","dist_code","state_id","is_active","lang_id","old_dist_code","old_dist_name","ro_id"
110,SURENDRANAGAR,"09",6,true,99,,,2
144,MOHINDERGARH,"09",7,true,100,,,7
165,BILASPUR,"09",8,true,100,,,6
197,BIDAR,"09",10,true,101,,,3
228,PALAKKAD,"09",11,true,105,,,3
242,DATIA,"09",12,true,100,,,9
296,BEED,"09",13,true,107,,,4
421,DEEDWANA-KUCHAMAN (NAGAUR),"04",20,true,100,,NAGAUR,7
164,HAMIRPUR ,"08",8,true,100,,,6
24,WEST SIANG,"09",2,true,100,,,8
650,RANGA REDDY,"08",34,true,115,,,3
456,PAKYONG (EAST SIKKIM),"04",21,true,108,,EAST SIKKIM,8
628,BURDWAN,"04",33,true,96,,BARDHAMAN,1
20,KAMLE (UPPER SUBANSIRI),"05",2,true,100,,UPPER SUBANSIRI,8
329,TAMENGLONG,"08",14,true,106,,,8
403,FEROZEPUR,"09",19,true,110,,,6
465,GODDA,"09",22,true,100,,,1
499,AMETHI,"09",24,true,100,,,5
620,NAINITAL,"09",32,true,100,,,5
633,ALIPURDUAR,"09",33,true,96,,,1
651,WARANGAL,"09",34,true,115,,,3
10,PRAKASAM-II,"10",1,true,115,,,3
25,PAPUMPARE,"10",2,true,100,,,8
42,MORIGAON,"10",3,true,95,,,8
70,EAST CHAMPARAN,"10",4,true,100,,,1
111,ARAVALLI,"10",6,true,99,,,2
145,REWARI,"10",7,true,100,,,7
166,SOLAN,"10",8,true,100,,,6
198,KODAGU,"10",10,true,101,,,3
229,MALAPPURAM,"10",11,true,105,,,3
362,PEREN,"10",17,true,100,,,8
373,KALAHANDI,"10",18,true,109,,,10
404,PATHANKOT,"10",19,true,110,,,6
427,BARAN,"10",20,true,100,,,7
466,GUMLA,"10",22,true,100,,,1
500,AZAMGARH,"10",24,true,100,,,5
576,KORBA,"10",25,true,100,,,10
621,DEHRADUN,"10",32,true,100,,,5
634,UTTAR DINAZPUR,"10",33,true,96,,,1
11,SRIKAKULAM,"11",1,true,115,,,3
26,UPPER SIANG,"11",2,true,100,,,8
43,KARBI ANGLONG-I,"11",3,true,95,,,8
71,GAYA-I,"11",4,true,100,,,1
112,PATAN,"11",6,true,99,,,2
146,KURUKSHETRA,"11",7,true,100,,,7
342,SOUTH WEST KHASI HILLS,"10",15,true,100,,S.W. KHASI HILLS,8
428,BALOTRA (BARMER),"11",20,true,100,,BARMER,7
1073,MEDACHAL- MALKAJGIRI,"13",34,true,115,"",RANGA REDDY,3
1069,JAGTIAL,"11",34,true,115,"",KARIMNAGAR,3
1115,NONEY,"13",14,true,106,"",TAMENGLONG,8
1071,BHADRA KOTHAGUDEM,"10",34,true,115,"",KHAMMAM,3
1113,THOUBAL,"14",14,true,106,"",THOUBAL,8
1114,KANGPOKPI-II,"12",14,true,106,"",SENAPATI II,8
167,LAHAUL & SPITI,"11",8,true,100,,,6
322,KAKCHING (THOUBAL),"01",14,true,106,"",THOUBAL,8
345,SERCHIP,"01",16,true,100,,,8
199,YADGIRI,"11",10,true,101,,,3
230,ALLEPPEY,"11",11,true,105,,,3
244,ASHOKNAGAR,"11",12,true,100,,,9
298,NASHIK,"11",13,true,107,,,4
332,UKHRUL II,"11",14,true,106,,,8
